antecedent,consequent,support,confidence,lift
HUMIDITY_MID + RADIATION_MID + TEMP_LOW,O3_MID + PM10_HIGH,0.005004549590536852,0.24444444444444444,4.8592018374964105
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.01735343819056285,0.37980085348506404,4.8454526797024835
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.01338879500844924,0.35951134380453753,4.8436440768621845
RADIATION_MID + RAIN_LOW + TEMP_MID,O3_MID + PM10_HIGH,0.011503964643182114,0.24346629986244842,4.839757738609342
RADIATION_LOW + RAIN_MID + TEMP_LOW,O3_LOW + PM10_HIGH,0.006499415052645262,0.6369426751592356,4.834731129748397
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.024697777200051996,0.3588290840415486,4.834452090248044
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.0186533212010919,0.5638506876227898,4.833095643322698
RADIATION_HIGH + RAIN_HIGH + WIND_HIGH,O3_HIGH + PM10_LOW,0.010009099181073703,0.4375,4.82881994261119
HUMIDITY_HIGH + RADIATION_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.019693227609515144,0.3782771535580524,4.82601350302172
RADIATION_LOW + RAIN_HIGH + TEMP_LOW,O3_LOW + PM10_MID,0.010074093331600156,0.2667814113597246,4.817721590587703
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.011828935395814377,0.3575638506876228,4.817405785183682
RADIATION_LOW + RAIN_HIGH + TEMP_LOW + WIND_LOW,O3_LOW + PM10_MID,0.005004549590536852,0.2655172413793103,4.794892342561113
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH,0.018328350448459638,0.6308724832214765,4.7886551686460965
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.012413882750552451,0.37524557956778,4.78733705408778
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW,O3_LOW + PM25_HIGH,0.01592356687898089,0.42757417102966844,4.767142170624985
RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.013453789158975693,0.31603053435114503,4.767103726986978
RADIATION_HIGH + RAIN_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM25_LOW,0.005069543741063305,0.2215909090909091,4.761728669375317
RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + PM25_HIGH,0.00792928636422722,0.48031496062992124,4.7494382932210595
HUMIDITY_HIGH + TEMP_MID + WIND_HIGH,NO2_LOW + O3_MID + PM10_LOW,0.006759391654751073,0.2659846547314578,4.725681175171143
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.021513063824255815,0.3125590179414542,4.714738284360014
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.012283894449499545,0.4228187919463087,4.714123139772396
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.019303262706356426,0.422475106685633,4.710291298163152
RADIATION_HIGH + RAIN_LOW + TEMP_HIGH + WIND_LOW,O3_HIGH + PM10_MID,0.007084362407383336,0.4658119658119658,4.702744688965161
RADIATION_MID + RAIN_HIGH + WIND_HIGH,NO2_LOW + O3_MID + PM10_LOW,0.005004549590536852,0.2646048109965636,4.701165845257653
RAIN_HIGH + TEMP_MID + WIND_HIGH,NO2_LOW + O3_MID + PM10_LOW,0.01091901728844404,0.26456692913385826,4.700492807914022
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.013713765761081503,0.3682373472949389,4.697926886799279
HUMIDITY_MID + RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.006044455998960093,0.5470588235294118,4.689162706865477
HUMIDITY_HIGH + RADIATION_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.016183543481086703,0.3108614232209738,4.6891312330175525
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.011568958793708567,0.3106457242582897,4.685877562194162
RADIATION_MID + TEMP_LOW + WIND_LOW,NO2_HIGH + PM25_HIGH,0.008579227869491746,0.4731182795698925,4.678276252867844
HUMIDITY_HIGH + RADIATION_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.02183803457688808,0.41947565543071164,4.676849590186181
RADIATION_MID + RAIN_LOW + TEMP_HIGH,NO2_MID + PM10_HIGH,0.006109450149486546,0.25133689839572193,4.676021183454145
HUMIDITY_MID + RADIATION_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM25_LOW,0.005329520343169115,0.21693121693121692,4.661597351541485
RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH,NO2_LOW + O3_HIGH + PM25_LOW,0.005784479396854283,0.21654501216545013,4.653298264214547
RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.02554270115689588,0.307752545027408,4.642235939011471
RADIATION_MID + RAIN_HIGH + TEMP_MID,NO2_LOW + O3_MID + PM10_LOW,0.00695437410633043,0.26097560975609757,4.636686757167802
HUMIDITY_HIGH + RADIATION_LOW + RAIN_HIGH + WIND_LOW,O3_LOW + PM10_MID,0.0075393214610685036,0.25663716814159293,4.6345298932236485
RADIATION_MID + WIND_LOW,O3_MID + PM10_HIGH,0.012478876901078902,0.23300970873786409,4.631895838037179
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.020083192512673858,0.5392670157068062,4.622374542431711
RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH,O3_HIGH + PM10_LOW,0.01117899389054985,0.41849148418491483,4.619017199188737
RADIATION_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.024177823995840373,0.36186770428015563,4.616663762897574
RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.026192642662160405,0.5373333333333333,4.605799814298979
HUMIDITY_LOW + RADIATION_HIGH + RAIN_LOW + TEMP_HIGH,O3_HIGH + PM25_MID,0.018783309502144806,0.292806484295846,4.597061803444782
RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.015338619524242819,0.3603053435114504,4.596731355942932
HUMIDITY_HIGH + RADIATION_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.017743403093721567,0.3408239700374532,4.59187180647658
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW,O3_LOW + PM25_HIGH,0.028337449629533343,0.4117091595845137,4.590258789396614
RADIATION_LOW + RAIN_MID + TEMP_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.00545950864422202,0.535031847133758,4.5860724233983285
HUMIDITY_HIGH + RADIATION_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.02781749642532172,0.5343320848938826,4.580074349959486
HUMIDITY_HIGH + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.028142467177953986,0.3587406793703397,4.5767695628458105
HUMIDITY_MID + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH,0.005914467697907188,0.6026490066225165,4.5744240828288305
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.014753672169504744,0.3393124065769806,4.571506731693015
HUMIDITY_MID + RADIATION_MID + TEMP_MID,O3_MID + PM10_HIGH,0.008384245417912387,0.22994652406417113,4.571004159239453
RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.005914467697907188,0.35826771653543305,4.570735561039944
RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.014428701416872481,0.33893129770992364,4.566372107324768
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,O3_LOW + PM10_HIGH,0.0198882100610945,0.6011787819253438,4.563264301284331
HUMIDITY_HIGH + RAIN_HIGH + TEMP_MID + WIND_HIGH,O3_MID + PM10_LOW + PM25_LOW,0.0056544910958013775,0.2457627118644068,4.5612847825642495
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.013518783309502146,0.4086444007858546,4.556088949631275
RADIATION_LOW + RAIN_HIGH + WIND_LOW,O3_LOW + PM10_MID,0.0077343039126478615,0.2521186440677966,4.55293128829474
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW,O3_LOW + PM25_HIGH,0.017743403093721567,0.4080717488789238,4.549704295834146
HUMIDITY_HIGH + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.023657870791628753,0.3015741507870754,4.549039101970531
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW,O3_LOW + PM10_HIGH,0.022292993630573247,0.5986038394415357,4.543719128587799
HUMIDITY_HIGH + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.026452619264266217,0.3371996685998343,4.543042120032443
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.024502794748472636,0.3559962228517469,4.541756123380579
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH,O3_HIGH + PM25_LOW,0.006174444300012999,0.2646239554317549,4.539023610114805
RADIATION_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.035356817886390224,0.5291828793774319,4.535937483064718
HUMIDITY_MID + RADIATION_HIGH + TEMP_HIGH + WIND_HIGH,O3_HIGH + PM10_LOW,0.0074743273105420515,0.4107142857142857,4.533177905308465
RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH,0.025412712855842973,0.5969465648854961,4.531139539875799
RADIATION_MID + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.006434420902118809,0.3548387096774194,4.5269887123522174
HUMIDITY_HIGH + RADIATION_LOW + RAIN_HIGH + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.006434420902118809,0.3548387096774194,4.5269887123522174
RADIATION_HIGH + RAIN_HIGH,O3_HIGH + PM10_LOW,0.015208631223189913,0.4098073555166375,4.523167842165699
RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.0055245027947484725,0.33464566929133854,4.5086324585959145
HUMIDITY_HIGH + TEMP_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.03171714545690888,0.4043082021541011,4.507743477060145
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.023982841544261016,0.5248933143669986,4.499169100195343
